term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos
we,we,7860,25,0.005291603719472294,7.562079260339323,1,PRP,3,"{'WRB', 'NNP', 'PRP'}"
have,have,7815,26,0.0052613082783302765,7.570362699598266,1,VBP,4,"{'VB', 'VBP', 'NNP', 'JJ'}"
be,be,7755,27,0.005220914356807588,7.581481791561839,1,VB,2,"{'VB', 'NNP'}"
this,this,7675,28,0.005167055794777335,7.596441822340388,1,DT,4,"{'JJ', 'NN', 'DT', 'NNP'}"
were,were,7324,29,0.0049307513538696035,7.663976781687955,1,VBD,5,"{'NNP', 'VBD', 'RB', 'WRB', 'VBP'}"
you,you,6750,30,0.004544316171302542,7.781721070659737,1,PRP,7,"{'NNP', 'PRP', 'RB', 'JJ', 'NN', 'JJR', 'VB'}"
all,all,6584,31,0.004432559655089769,7.817644237063667,1,DT,8,"{'NNP', 'VBP', 'RB', 'PDT', 'JJ', 'VB', 'NN', 'DT'}"
would,would,6468,32,0.004354464740145903,7.84328889401163,0,MD,3,"{'VBZ', 'NNP', 'MD'}"
from,from,6366,33,0.0042857950735573315,7.866221415849371,1,IN,2,"{'IN', 'NNP'}"
by,by,6357,34,0.004279735985328928,7.868262484391966,1,IN,3,"{'IN', 'NNP', 'JJ'}"
him,him,6286,35,0.004231936511527079,7.884466300686541,1,PRP,7,"{'NNP', 'PRP', 'RP', 'CD', 'JJ', 'NN', 'VB'}"
one,one,5847,36,0.003936387652386069,7.988911981506246,0,CD,7,"{'NNP', 'FW', 'PRP', 'CD', 'JJ', 'NN', 'VB'}"
so,so,5698,37,0.0038360760806047237,8.026152951161441,1,RB,8,"{'CC', 'NNP', 'RB', 'NNS', 'JJ', 'IN', 'NN', 'VB'}"
her,her,5434,38,0.003658342825904891,8.094594007263318,1,PRP$,7,"{'NNP', 'PRP', 'RB', 'PRP$', 'JJ', 'VB', 'NN'}"
she,she,5380,39,0.0036219882965344706,8.109002400041305,1,PRP,2,"{'NNP', 'PRP'}"
which,which,5355,40,0.003605157495900017,8.115721997847674,1,WDT,3,"{'JJ', 'WDT', 'NNP'}"
them,them,5272,41,0.00354927923779363,8.13825820247724,1,PRP,10,"{'NNP', 'PRP', 'VBN', 'NNS', 'VBZ', 'IN', 'JJ', 'NN', 'JJR', 'VB'}"
their,their,5125,42,0.0034503141300630414,8.179056568205121,1,PRP$,2,"{'PRP$', 'NNP'}"
there,there,5024,43,0.003382317695499848,8.207772108593666,1,EX,7,"{'NNP', 'RB', 'EX', 'JJ', 'NN', 'VBP', 'VB'}"
when,when,4738,44,0.003189773336241696,8.292330374245061,1,WRB,3,"{'IN', 'WRB', 'NNP'}"
said,said,4724,45,0.0031803480878864017,8.296599608088135,0,VBD,2,"{'NNP', 'VBD'}"
who,who,4550,46,0.0030632057154706027,8.35074202751187,1,WP,2,"{'NNP', 'WP'}"
s,s,4438,47,0.0029878037286282496,8.38669890528828,1,POS,6,"{'NNP', 'VBP', 'VBZ', 'POS', 'JJ', 'NN'}"
are,are,4241,48,0.002855177019628753,8.452204089888857,1,VBP,5,"{'NNP', 'VBP', 'JJ', 'IN', 'NN'}"
or,or,4228,49,0.002846425003298837,8.45663319610261,1,CC,2,"{'CC', 'NNP'}"
if,if,3904,50,0.002628297827076315,8.571655519922405,1,IN,1,{'IN'}
will,will,3841,51,0.002585884209477491,8.595126608954228,1,MD,7,"{'NNP', 'VBP', 'VBZ', 'JJ', 'NN', 'VB', 'MD'}"
been,been,3826,52,0.0025757857290968186,8.60077169913918,1,VBN,2,"{'NNP', 'VBN'}"
no,no,3821,53,0.002572419568969928,8.602658315127782,1,DT,5,"{'NNP', 'RB', 'DT', 'UH', 'NN'}"
do,do,3818,54,0.0025703998728937934,8.603791470081354,1,VB,9,"{'NNP', 'VBP', 'VBZ', 'NNS', 'IN', 'JJ', 'VB', 'NN', 'MD'}"
could,could,3674,55,0.002473454461239339,8.659256946373944,0,MD,4,"{'VB', 'NNP', 'VBP', 'MD'}"
an,an,3614,56,0.00243306053971665,8.683012066620693,1,DT,4,"{'JJ', 'DT', 'NNP', 'POS'}"
our,our,3391,57,0.0022829297980573216,8.774897788459862,1,PRP$,2,"{'PRP$', 'NNP'}"
some,some,3370,58,0.0022687919255243803,8.783859981416072,1,DT,4,"{'JJ', 'DT', 'NNP', 'VBN'}"
did,did,3311,59,0.0022290712360270694,8.809341562088292,1,VBD,4,"{'NNP', 'VBP', 'VBD', 'MD'}"
time,time,3243,60,0.0021832914583013547,8.839279549029486,0,NN,3,"{'IN', 'NN', 'NNP'}"
what,what,3243,60,0.0021832914583013547,8.839279549029486,1,WP,3,"{'WDT', 'WP', 'NNP'}"
very,veri,3216,62,0.0021651141936161445,8.851341166306364,1,RB,4,"{'JJ', 'NN', 'NNP', 'RB'}"
then,then,3160,63,0.002127413200194968,8.876684014420826,1,RB,3,"{'VB', 'NNP', 'RB'}"
people,peopl,3157,64,0.0021253935041188336,8.878054312172306,0,NNS,4,"{'NN', 'NNS', 'NNP', 'NNPS'}"
out,out,3116,65,0.002097790991078329,8.896913339423623,1,RP,10,"{'VB', 'NNP', 'VBP', 'RP', 'RB', 'PRP', 'JJ', 'IN', 'NN', 'MD'}"
man,man,2941,66,0.001979975386637152,8.980301788598227,0,NN,4,"{'JJ', 'NN', 'NNP', 'VB'}"
up,up,2887,67,0.0019436208572667318,9.00703746524931,1,RP,7,"{'NNP', 'VBP', 'RP', 'RB', 'JJ', 'IN', 'NN'}"
after,after,2797,68,0.001883029974982698,9.0527283190091,1,IN,4,"{'IN', 'NN', 'NNP', 'JJ'}"
has,has,2723,69,0.0018332108051047145,9.091411590441496,1,VBZ,4,"{'NN', 'VBZ', 'NNP', 'VBP'}"
about,about,2712,70,0.0018258052528255548,9.097251394348948,1,IN,5,"{'NNP', 'RP', 'RB', 'JJ', 'IN'}"
more,more,2526,71,0.0017005840961052182,9.19975393369774,1,RBR,8,"{'NNP', 'VBD', 'RB', 'NNS', 'IN', 'JJ', 'RBR', 'JJR'}"
us,us,2471,72,0.0016635563347094195,9.231513562156508,0,PRP,4,"{'JJ', 'NN', 'NNP', 'PRP'}"
went,went,2440,73,0.0016426861419226969,9.249727425035044,0,VBD,3,"{'NN', 'VBD', 'NNP'}"
any,ani,2403,74,0.001617776556983705,9.271771924355425,1,DT,3,"{'JJ', 'DT', 'NNP'}"
go,go,2386,75,0.0016063316125522764,9.282014529790064,0,VB,7,"{'NNP', 'VBP', 'VBN', 'NNS', 'JJ', 'NN', 'VB'}"
mr,mr,2347,76,0.0015800755635625285,9.305790730962121,0,NNP,1,{'NNP'}
lord,lord,2212,77,0.0014891892401364777,9.391257187250584,0,NNP,2,"{'NN', 'NNP'}"
came,came,2207,78,0.001485823080009587,9.394521943205678,0,VBD,5,"{'NNP', 'VBP', 'VBD', 'VB', 'NN'}"
upon,upon,2201,79,0.001481783687857318,9.398449427593734,0,IN,10,"{'NNP', 'VBP', 'RP', 'RB', 'VBZ', 'NNS', 'JJ', 'IN', 'NN', 'VB'}"
now,now,2188,80,0.001473031671527402,9.406995834692736,1,RB,5,"{'NNP', 'VBP', 'RB', 'JJ', 'NN'}"
can,can,2185,81,0.0014710119754512674,9.408975293097331,1,MD,4,"{'VB', 'NNP', 'VBP', 'MD'}"
god,god,2181,82,0.0014683190473497548,9.411618802844542,0,NNP,4,"{'VB', 'NN', 'NNP', 'IN'}"
day,day,2168,83,0.0014595670310198388,9.420243816131421,0,NN,3,"{'NNS', 'NN', 'NNP'}"
made,made,2160,84,0.0014541811748168135,9.425577260434462,0,VBD,6,"{'NNP', 'VBD', 'VBN', 'NNS', 'VB', 'NN'}"
well,well,2143,85,0.0014427362303853848,9.436976722808744,0,RB,7,"{'NNP', 'VBP', 'RB', 'UH', 'JJ', 'VB', 'NN'}"
great,great,2115,86,0.0014238857336747966,9.45595090947798,0,JJ,3,"{'JJ', 'NN', 'NNP'}"
how,how,2091,87,0.0014077281650657209,9.472415510895713,1,WRB,3,"{'VB', 'WRB', 'NNP'}"
into,into,2058,88,0.001385511508228242,9.495365590591323,1,IN,2,"{'IN', 'NNP'}"
good,good,2057,89,0.0013848382762028637,9.496066778960358,0,JJ,4,"{'JJ', 'NN', 'NNP', 'VB'}"
men,men,2050,90,0.0013801256520252166,9.500984663092483,0,NNS,4,"{'NN', 'NNS', 'NNP', 'JJ'}"
these,these,2050,90,0.0013801256520252166,9.500984663092483,1,DT,2,"{'DT', 'NNP'}"
before,befor,2024,92,0.0013626216193653846,9.519399282790982,1,IN,4,"{'IN', 'NN', 'NNP', 'RB'}"
many,mani,1976,93,0.0013303064821472332,9.554025625900614,0,JJ,3,"{'JJ', 'NN', 'NNP'}"
two,two,1962,94,0.001320881233791939,9.564283531266053,0,CD,2,"{'CD', 'NNP'}"
told,told,1943,95,0.001308089825309754,9.578322671899947,0,VBD,7,"{'NNP', 'VBD', 'VBN', 'RB', 'JJ', 'NN', 'VB'}"
see,see,1939,96,0.0013053968972082414,9.5812957693785,0,VB,5,"{'NNP', 'VBP', 'JJ', 'NN', 'VB'}"
than,than,1924,97,0.001295298416827569,9.59249977371525,1,IN,3,"{'IN', 'NN', 'NNP'}"
much,much,1914,98,0.0012885660965737875,9.600017742999267,0,JJ,3,"{'JJ', 'NNP', 'RB'}"
other,other,1908,99,0.0012845267044215188,9.604547401479781,1,JJ,3,"{'JJ', 'NN', 'NNP'}"
work,work,1895,100,0.0012757746880916027,9.614410724426838,0,NN,6,"{'NNP', 'VBP', 'VBN', 'JJ', 'NN', 'VB'}"
such,such,1889,101,0.0012717352959393338,9.618985871096923,1,JJ,5,"{'NNP', 'VBN', 'PDT', 'JJ', 'VB'}"
little,littl,1888,102,0.0012710620639139556,9.619749808123451,0,JJ,6,"{'NNP', 'VBP', 'RB', 'JJ', 'NN', 'VB'}"
never,never,1881,103,0.0012663494397363085,9.625108723962096,0,RB,2,"{'NNP', 'RB'}"
where,where,1836,104,0.0012360539985942914,9.660042514071485,1,WRB,2,"{'WRB', 'NNP'}"
church,church,1782,105,0.0011996994692238712,9.70311123596337,0,NNP,4,"{'VB', 'NN', 'NNP', 'JJ'}"
first,first,1759,106,0.0011842151326401735,9.721853090013331,0,JJ,5,"{'NNP', 'RB', 'JJ', 'NN', 'VB'}"
only,onli,1747,107,0.0011761363483356359,9.731728964568532,1,RB,4,"{'JJ', 'NNP', 'RB', 'VB'}"
thought,thought,1706,108,0.0011485338352951314,9.765990926167001,0,VBD,9,"{'NNP', 'VBP', 'VBD', 'VBN', 'RB', 'VBZ', 'JJ', 'NN', 'VB'}"
those,those,1687,109,0.0011357424268129464,9.782148599197727,1,DT,2,"{'NN', 'DT'}"
white,white,1686,110,0.0011350691947875683,9.78300403654321,0,JJ,3,"{'JJ', 'NNP', 'RB'}"
your,your,1684,111,0.001133722730736812,9.784716434418897,1,PRP$,1,{'PRP$'}
get,get,1670,112,0.001124297482381518,9.796760470123878,0,VB,4,"{'NN', 'VB', 'VBP', 'NNP'}"
most,most,1668,113,0.0011229510183307617,9.79848928404063,1,RBS,5,"{'NNP', 'VBD', 'RBS', 'VB', 'JJS'}"
over,over,1654,114,0.0011135257699754675,9.810649338314018,1,IN,8,"{'NNP', 'RP', 'RB', 'PRP', 'JJ', 'IN', 'NN', 'VB'}"
come,come,1636,115,0.0011014075935186606,9.826435824543543,0,VB,9,"{'NNP', 'VBP', 'VBD', 'VBN', 'VBZ', 'JJ', 'VB', 'NN', 'JJR'}"
nt,nt,1588,116,0.0010690924563005093,9.869397660342335,0,RB,2,"{'NNP', 'RB'}"
know,know,1569,117,0.0010563010478183243,9.886763220517194,0,VB,7,"{'NNP', 'VBP', 'VBD', 'NNS', 'JJ', 'NN', 'VB'}"
old,old,1564,118,0.0010529348876914335,9.89136806017794,0,JJ,3,"{'JJ', 'NN', 'NNP'}"
while,while,1547,119,0.0010414899432600049,9.907135376036257,1,IN,5,"{'VBP', 'RB', 'IN', 'NN', 'VB'}"
should,should,1533,120,0.0010320646949047107,9.920250875826515,1,MD,2,"{'NNP', 'MD'}"
got,got,1527,121,0.0010280253027524417,9.92590851068844,0,VBD,7,"{'NNP', 'VBD', 'VBN', 'NNS', 'JJ', 'VB', 'VBP'}"
say,say,1521,122,0.0010239859106001728,9.931588419760796,0,VB,6,"{'NNP', 'VBP', 'VBZ', 'UH', 'VB', 'NN'}"
its,it,1514,123,0.001019273286422526,9.93824336749956,1,PRP$,2,"{'PRP$', 'NNP'}"
every,everi,1506,124,0.0010138874302195006,9.945886802813364,0,DT,3,"{'JJ', 'DT', 'NNP'}"
down,down,1489,125,0.001002442485788072,9.962264818903192,1,RP,7,"{'NNP', 'RP', 'RB', 'VBN', 'JJ', 'IN', 'NN'}"
years,year,1475,126,0.0009930172374327778,9.975893618348726,0,NNS,2,"{'NNS', 'NNP'}"
way,way,1472,127,0.0009909975413566433,9.97883090142828,0,NN,10,"{'NNP', 'VBP', 'RB', 'PRP', ""''"", 'POS', 'CD', 'JJ', 'NN', 'VB'}"
home,home,1470,128,0.000989651077305887,9.980792417761565,0,NN,7,"{'NNP', 'VBP', 'RB', 'VBN', 'JJ', 'NN', 'VB'}"
night,night,1467,129,0.0009876313812297525,9.983739701811903,0,NN,4,"{'JJ', 'NN', 'NNP', 'RB'}"
like,like,1404,130,0.0009452177636309288,10.047065637180731,0,IN,5,"{'VBP', 'JJ', 'IN', 'NN', 'VB'}"
here,here,1398,131,0.0009411783714786599,10.053244212109856,1,RB,6,"{'NNP', 'VBP', 'RB', 'NNS', 'JJ', 'NN'}"
life,life,1387,132,0.0009337728191995001,10.06464078516169,0,NN,3,"{'JJ', 'NN', 'NNP'}"
am,am,1374,133,0.0009250208028695842,10.078226568667192,1,VBP,2,"{'VBP', 'NNP'}"
must,must,1369,134,0.0009216546427426934,10.083486126227392,0,MD,4,"{'NNP', 'VBP', 'VBD', 'MD'}"
colored,color,1356,135,0.0009129026264127774,10.097251394348948,0,JJ,7,"{'NNP', 'VBD', 'VBN', 'FW', 'JJ', 'NN', 'VB'}"
take,take,1315,136,0.000885300113372273,10.141545773305628,0,VB,4,"{'NN', 'VB', 'VBP', 'NNP'}"
make,make,1313,137,0.0008839536493215167,10.143741656592406,0,VB,4,"{'NN', 'VB', 'VBP', 'NNP'}"
master,master,1310,138,0.0008819339532453823,10.14704176106048,0,NN,9,"{'NNP', 'VBP', 'RB', 'VBN', 'JJ', 'RBR', 'NN', 'VB', 'JJR'}"
may,may,1307,139,0.0008799142571692478,10.15034943168986,0,MD,2,"{'NNP', 'MD'}"
house,hous,1302,140,0.0008765480970423571,10.155879124319657,0,NN,2,"{'NN', 'NNP'}"
through,through,1296,141,0.0008725087048900882,10.162542854600668,1,IN,6,"{'NNP', 'RB', 'JJ', 'IN', 'NN', 'VB'}"
just,just,1294,142,0.0008711622408393319,10.164770955492784,1,RB,3,"{'NNP', 'PRP', 'RB'}"
place,place,1293,143,0.0008704890088139537,10.165886297675037,0,NN,5,"{'NNP', 'VBP', 'VBZ', 'NN', 'VB'}"
found,found,1283,144,0.0008637566885601721,10.17708740239561,0,VBD,7,"{'NNP', 'VBP', 'VBD', 'VBN', 'JJ', 'NN', 'VB'}"
own,own,1240,145,0.0008348077114689115,10.226268452211055,1,JJ,6,"{'NNP', 'VBP', 'VBN', 'IN', 'JJ', 'VB'}"
give,give,1233,146,0.0008300950872912644,10.234435773082453,0,VB,6,"{'NNP', 'VBP', 'VBD', 'JJ', 'NN', 'VB'}"
school,school,1226,147,0.0008253824631136174,10.24264959379451,0,NN,3,"{'JJ', 'NN', 'NNP'}"
negro,negro,1215,148,0.0008179769108344577,10.255652258992148,0,NNP,11,"{'NNP', 'FW', 'RB', 'VBN', 'VBD', 'NNS', 'DT', 'IN', 'JJ', 'NN', 'VB'}"
seemed,seem,1183,149,0.0007964334860223567,10.294158499145503,0,VBD,4,"{'JJ', 'VB', 'VBD', 'VBN'}"
being,be,1182,150,0.0007957602539969786,10.29537853730776,1,VBG,2,"{'VBG', 'NNP'}"
took,took,1168,151,0.0007863350056416844,10.312568298605274,0,VBD,3,"{'VB', 'VBD', 'NNP'}"
new,new,1165,152,0.0007843153095655499,10.31627861794365,0,NNP,2,"{'JJ', 'NNP'}"
brother,brother,1163,153,0.0007829688455147936,10.318757476012074,0,NNP,5,"{'NNP', 'RB', 'DT', 'NN', 'JJR'}"
asked,ask,1160,154,0.0007809491494386591,10.322483767470358,0,VBD,4,"{'JJ', 'NNP', 'VBD', 'VBN'}"
mother,mother,1150,155,0.0007742168291848775,10.334974711653555,0,NN,13,"{'CC', 'NNP', 'FW', 'PRP', 'RB', 'PDT', 'RBR', 'NNS', 'DT', 'JJ', 'VB', 'NN', 'JJR'}"
country,countri,1107,156,0.000745267852093617,10.38995335070374,0,NN,3,"{'VBZ', 'NN', 'NNP'}"
saw,saw,1102,157,0.0007419016919667262,10.396484348914134,0,VBD,5,"{'VBD', 'VBZ', 'JJ', 'NN', 'VB'}"
young,young,1100,158,0.0007405552279159699,10.39910504907327,0,JJ,3,"{'JJ', 'NN', 'NNP'}"
ever,ever,1095,159,0.0007371890677890791,10.405677702996757,0,RB,3,"{'NN', 'NNP', 'RB'}"
away,away,1092,160,0.0007351693717129446,10.40963571656544,0,RB,5,"{'NNP', 'RP', 'RB', 'JJ', 'NN'}"
race,race,1091,161,0.0007344961396875665,10.410957471161685,0,NN,2,"{'NN', 'NNP'}"
myself,myself,1083,162,0.0007291102834845412,10.421575329876966,1,PRP,7,"{'NNP', 'PRP', 'NNS', 'JJ', 'VB', 'NN', 'JJR'}"
three,three,1077,163,0.0007250708913322723,10.429590322941085,0,CD,3,"{'JJ', 'CD', 'NNP'}"
think,think,1068,164,0.000719011803103869,10.441696925797737,0,VBP,5,"{'NNP', 'VBP', 'IN', 'NN', 'VB'}"
oh,oh,1068,164,0.000719011803103869,10.441696925797737,0,UH,8,"{'NNP', 'VBN', 'VBZ', 'UH', 'JJ', 'IN', 'NN', 'VB'}"
back,back,1060,166,0.0007136259469008437,10.45254430803473,0,RB,7,"{'NNP', 'VBP', 'FW', 'RP', 'RB', 'JJ', 'NN'}"
without,without,1053,167,0.0007089133227231966,10.462103136459575,0,IN,3,"{'IN', 'NNP', 'RB'}"
among,among,1038,168,0.0006988148423425243,10.482802129127412,0,IN,2,"{'IN', 'NNP'}"
meeting,meet,1036,169,0.0006974683782917679,10.485584569798739,0,NN,3,"{'NN', 'NNP', 'VBG'}"
shall,shall,1032,170,0.0006947754501902554,10.491165602062038,0,MD,6,"{'NNP', 'RB', 'PDT', 'NN', 'VB', 'MD'}"
long,long,1027,171,0.0006914092900633646,10.498172391167097,0,RB,8,"{'NNP', 'RB', 'POS', 'CD', 'JJ', 'NN', 'VB', 'MD'}"
few,few,1019,172,0.0006860234338603394,10.509454521319478,1,JJ,1,{'JJ'}
heard,heard,1013,173,0.0006819840417080704,10.517974398684155,0,VBN,10,"{'NNP', 'VBP', 'VBD', 'VBN', 'RB', 'VBZ', 'CD', 'JJ', 'VB', 'NN'}"
gave,gave,1010,174,0.000679964345631936,10.522253279846135,0,VBD,3,"{'VB', 'NNP', 'VBD'}"
right,right,1003,175,0.0006752517214542889,10.532286966873112,0,JJ,8,"{'NNP', 'VBP', 'VBD', 'RB', 'NNS', 'JJ', 'NN', 'VB'}"
done,done,995,176,0.0006698658652512636,10.54384014205428,0,VBN,5,"{'NNP', 'VBN', 'RB', 'JJ', 'VB'}"
same,same,992,177,0.0006678461691751292,10.548196547098417,1,JJ,2,"{'JJ', 'NN'}"
too,too,989,178,0.0006658264730989948,10.552566146726182,1,RB,4,"{'JJ', 'NNP', 'IN', 'RB'}"
children,children,985,179,0.0006631335449974821,10.558412943141553,0,NNS,3,"{'NN', 'NNS', 'NNP'}"
mrs,mrs,984,180,0.000662460312972104,10.559878352146052,0,NNP,1,{'NNP'}
morning,morn,966,181,0.0006503421365152972,10.586513478649518,0,NN,4,"{'JJ', 'NN', 'NNP', 'VBG'}"
miss,miss,964,182,0.0006489956724645408,10.589503521255331,0,NNP,5,"{'NNP', 'VBP', 'JJ', 'NN', 'VB'}"
south,south,959,183,0.0006456295123376501,10.597005852467161,0,NNP,6,"{'NNP', 'RB', 'VBZ', 'JJ', 'NN', 'VB'}"
large,larg,959,183,0.0006456295123376501,10.597005852467161,0,JJ,2,"{'JJ', 'NNP'}"
called,call,954,185,0.0006422633522107594,10.604547401479781,0,VBN,6,"{'NNP', 'VBD', 'VBN', 'JJ', 'VBP', 'VB'}"
heart,heart,953,186,0.0006415901201853812,10.60606045357535,0,NN,2,"{'NN', 'NNP'}"
soon,soon,951,187,0.0006402436561346249,10.609091326624728,0,RB,3,"{'JJ', 'NNP', 'RB'}"
off,off,936,188,0.0006301451757539525,10.632028137901887,1,RP,6,"{'NNP', 'RP', 'RB', 'JJ', 'IN', 'NN'}"
put,put,935,189,0.0006294719437285744,10.633570302710293,0,VB,7,"{'NNP', 'VBP', 'VBD', 'VBN', 'RB', 'VB', 'NN'}"
let,let,934,190,0.0006287987117031962,10.63511411777563,0,VB,9,"{'NNP', 'VBP', 'VBD', 'VBN', 'VBZ', 'JJ', 'RBR', 'NN', 'VB'}"
going,go,930,191,0.0006261057836016836,10.6413059514899,0,VBG,4,"{'JJ', 'NN', 'VBG', 'NNP'}"
days,day,915,192,0.0006160073032210114,10.664764924313888,0,NNS,3,"{'NN', 'NNS', 'NNP'}"
felt,felt,913,193,0.000614660839170255,10.66792180750107,0,VBD,8,"{'VBP', 'VBD', 'VBN', 'RB', 'JJ', 'NN', 'JJS', 'VB'}"
another,anoth,911,194,0.0006133143751194987,10.67108561368324,0,DT,5,"{'NNP', 'DT', 'JJ', 'NN', 'VB'}"
under,under,905,195,0.0006092749829672298,10.680618875514725,1,IN,2,"{'IN', 'JJ'}"
again,again,905,195,0.0006092749829672298,10.680618875514725,1,RB,6,"{'NNP', 'RB', 'IN', 'JJ', 'NN', 'VB'}"
knew,knew,892,197,0.0006005229666373137,10.701492957564987,0,VBD,9,"{'VBP', 'VBD', 'NNPS', 'NNS', 'VBZ', 'IN', 'JJ', 'VB', 'NN'}"
until,until,888,198,0.0005978300385358011,10.707976991135187,1,IN,2,"{'IN', 'NNP'}"
left,left,888,198,0.0005978300385358011,10.707976991135187,0,VBD,10,"{'CC', 'NNP', 'VBP', 'VBD', 'VBN', 'RB', 'VBZ', 'NNS', 'JJ', 'NN'}"
poor,poor,887,200,0.000597156806510423,10.709602563184228,0,JJ,2,"{'JJ', 'NNP'}"
part,part,885,201,0.0005958103424596666,10.712859212514932,0,NN,2,"{'NN', 'NNP'}"
during,dure,869,202,0.0005850386300536162,10.739180490670892,1,IN,4,"{'IN', 'NN', 'VBG', 'NNP'}"
also,also,865,203,0.0005823457019521036,10.745836534961205,0,RB,2,"{'NNP', 'RB'}"
because,becaus,858,204,0.0005776330777744565,10.757559019985747,1,IN,2,"{'IN', 'RB'}"
might,might,852,205,0.0005735936856221876,10.767683237259455,0,MD,2,"{'NNP', 'MD'}"
city,citi,851,206,0.0005729204535968094,10.769377535799329,0,NN,2,"{'NN', 'NNP'}"
help,help,846,207,0.0005695542934699186,10.777879004365342,0,VB,5,"{'NNP', 'VBP', 'VBZ', 'VB', 'NN'}"
father,father,845,208,0.0005688810614445405,10.779585326315745,0,NN,8,"{'CC', 'NNP', 'RB', 'NNS', 'JJ', 'NN', 'VB', 'JJR'}"
always,alway,844,209,0.0005682078294191623,10.781293668778106,0,RB,5,"{'NNP', 'RB', 'NNS', 'IN', 'VBP'}"
slaves,slave,843,210,0.0005675345973937841,10.78300403654321,0,NNS,8,"{'NNP', 'VBP', 'VBN', 'NNS', 'VBZ', 'JJ', 'NN', 'VB'}"
himself,himself,839,211,0.0005648416692922715,10.78986585704547,1,PRP,3,"{'NN', 'NNP', 'PRP'}"
yet,yet,835,212,0.000562148741190759,10.796760470123878,0,RB,4,"{'CC', 'NN', 'JJR', 'RB'}"
friends,friend,826,213,0.0005560896529623556,10.812394886065848,0,NNS,7,"{'NNP', 'NNPS', 'NNS', 'VBZ', 'JJ', 'NN', 'VB'}"
though,though,822,214,0.000553396724860843,10.819398273803609,0,IN,4,"{'IN', 'NN', 'NNP', 'RB'}"
others,other,815,215,0.0005486841006831959,10.831736608366853,0,NNS,2,"{'NNS', 'NNP'}"
general,general,804,216,0.0005412785484040361,10.851341166306364,0,NNP,3,"{'JJ', 'NN', 'NNP'}"
best,best,800,217,0.0005385856203025235,10.858536667710567,0,JJS,10,"{'NNP', 'VBP', 'FW', 'RB', 'RBS', 'IN', 'JJ', 'VB', 'NN', 'JJS'}"
