,Title,Date,syu_sentiment,nrc_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1876: Uncle Tom's Story of His Life. An Autobiography of the Rev. Josiah Henson (Mrs. Harriet Beecher Stow,"Uncle Tom's Story of His Life. An Autobiography of the Rev. Josiah Henson (Mrs. Harriet Beecher Stowe's ""Uncle Tom""). From 1789 to 1876. With a Preface by Mrs. Harriet Beecher Stowe, and an Introductory Note by George Sturge, and S. Morley, Esq., M. P.",1876,-9.772423062021638e-05,6.013895658620796e-06,0.000595748476188881,0.0005878599190160015,0.00044137253152993637,0.0007419368688308588,0.0007223897413100045,0.000700785604378292,0.0003279042532638262,0.000754512878796934
1928: From Slavery to the Bishopric in the A.M.E. Church. An Autobiography,From Slavery to the Bishopric in the A.M.E. Church. An Autobiography,1928,0.0005765343366212237,0.0016501352891295038,0.0005479109982165119,0.001386625651639383,0.0004196245543862608,0.0009197937971046287,0.001545484878416387,0.0009137254399339958,0.0005807315273090892,0.0021081151139770503
"1869: Autobiography of Rev. Francis Frederick, of Virginia","Autobiography of Rev. Francis Frederick, of Virginia",1869,0.0001866456880742394,0.0003221331618318162,0.0007029921528449509,0.0008512753391678241,0.0005733612799391977,0.0007713625120561805,0.0010833470166372032,0.0006197722261187795,0.00046955205312080147,0.0009753361455417307
"1878: The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossian Flipper, U. S. A., First Gradu","The Colored Cadet at West Point. Autobiography of Lieut. Henry Ossian Flipper, U. S. A., First Graduate of Color from the U. S. Military Academy",1878,-5.1856851753096886e-05,2.092902396946368e-05,0.0002578885274251439,0.00024188015728134177,0.0001962424308913853,0.0003963750694119273,0.00028798192843860966,0.0003038126213473564,0.0001391316805778842,0.00045908126211509
1898: A Slave Girl's Story. Being an Autobiography of Kate Drumgoold,A Slave Girl's Story. Being an Autobiography of Kate Drumgoold,1898,0.0003447627979773201,0.0005368054357734957,0.0001459047295106393,0.00045023850696171,0.00013825236456977032,0.0002160478532846517,0.0007276283269000638,0.00032462881149647644,0.00022165530935407018,0.0005986742208369832
"1861: An Autobiography. Bond and Free:  Or, Yearnings for Freedom, from My Green Brier House. Being the St","An Autobiography. Bond and Free:  Or, Yearnings for Freedom, from My Green Brier House. Being the Story of My Life in Bondage, and My Life in Freedom",1861,-0.00011352160638140921,-6.333147809765861e-05,0.0005309686797333212,0.0004645656830898014,0.00036753996420453247,0.0005804659545486175,0.0005307065583728531,0.0005123653406258104,0.0002042874795071732,0.0006420410702518099
1857: Autobiography of a Female Slave,Autobiography of a Female Slave,1857,-0.00020291298770347437,-0.00024847111360577263,0.000444472425447393,0.00032104199562750697,0.00033604109794680825,0.0005194080671004476,0.0004185259112928271,0.0004996649214362729,0.00023351964932381773,0.0004061992362604729
1863: Toussaint L'Ouverture: A Biography and Autobiography,Toussaint L'Ouverture: A Biography and Autobiography,1863,-0.0002028719956194206,-0.00022527693799422705,0.00048051560266073093,0.0002709808357513657,0.0002581377888237225,0.000519611660350789,0.000307877952369581,0.00039116784965215884,0.00019626836035574222,0.00041173910236207747
"1929: Before the War, and After the Union.  An Autobiography","Before the War, and After the Union.  An Autobiography",1929,-3.613685656833779e-05,0.00011331396786157835,0.0005815531680918124,0.0006132580738345888,0.00042794159570598176,0.0007390334997428271,0.0007890887139611808,0.0006509822730153802,0.00041109603494653846,0.0009421988004893607
1901: Up from Slavery: An Autobiography,Up from Slavery: An Autobiography,1901,0.00015063632884383197,0.00034022801747043627,0.0001898261691824428,0.00037504655218874555,0.0001630286694784987,0.00022491025865259586,0.00040886751980323636,0.000258641761649653,0.00017390420173816988,0.0004924949834564839
1910: What Experience Has Taught Me: An Autobiography of Thomas William Burton,What Experience Has Taught Me: An Autobiography of Thomas William Burton,1910,4.651305217736852e-05,0.0002796707270202754,0.0006874898315699978,0.0007120304594248636,0.0004372357498768288,0.0007960175340924878,0.0007876836389282788,0.0005814462953021505,0.0003011088847579739,0.0009535677320014642
